Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Season,TotalGoals,GoalDiff,ShotDiff,TargetDiff
2015-08-21,Malaga,Sevilla,0,0,D,0,0,D,25,10,5,2,19,11,7,2,3,3,0,1,SP1 (9),0,0,15,3
2015-08-22,La Coruna,Sociedad,0,0,D,0,0,D,15,9,5,2,16,10,5,4,3,2,0,0,SP1 (9),0,0,6,3
2015-08-22,Ath Madrid,Las Palmas,1,0,H,1,0,H,14,8,3,1,11,16,4,4,2,0,0,0,SP1 (9),1,1,6,2
2015-08-22,Espanol,Getafe,1,0,H,1,0,H,4,14,2,3,19,14,5,6,2,3,0,1,SP1 (9),1,1,-10,-1
2015-08-22,Vallecano,Valencia,0,0,D,0,0,D,8,10,3,4,19,11,3,3,3,1,0,0,SP1 (9),0,0,-2,-1
2015-08-23,Ath Bilbao,Barcelona,0,1,A,0,0,D,8,10,2,4,16,11,2,4,3,3,0,0,SP1 (9),1,-1,-2,-2
2015-08-23,Betis,Villarreal,1,1,D,0,1,A,22,8,6,4,11,26,7,5,3,1,0,1,SP1 (9),2,0,14,2
2015-08-23,Levante,Celta,1,2,A,0,1,A,11,15,2,6,12,17,4,6,1,3,1,0,SP1 (9),3,-1,-4,-4
2015-08-23,Sp Gijon,Real Madrid,0,0,D,0,0,D,6,27,0,8,20,4,2,5,4,0,0,0,SP1 (9),0,0,-21,-8
2015-08-24,Granada,Eibar,1,3,A,0,2,A,12,10,6,4,5,23,6,5,1,6,1,0,SP1 (9),4,-2,2,2
2015-08-28,Villarreal,Espanol,3,1,H,0,1,A,14,4,4,2,10,20,2,3,1,6,0,0,SP1 (9),4,2,10,2
2015-08-29,Sociedad,Sp Gijon,0,0,D,0,0,D,12,7,1,2,10,15,6,4,4,5,0,0,SP1 (9),0,0,5,-1
2015-08-29,Real Madrid,Betis,5,0,H,2,0,H,21,7,11,1,12,14,11,4,3,3,0,0,SP1 (9),5,5,14,10
2015-08-29,Barcelona,Malaga,1,0,H,0,0,D,22,4,13,1,4,21,15,2,0,3,0,0,SP1 (9),1,1,18,12
2015-08-29,Celta,Vallecano,3,0,H,1,0,H,11,3,7,0,7,11,5,4,2,2,0,1,SP1 (9),3,3,8,7
2015-08-30,Eibar,Ath Bilbao,2,0,H,1,0,H,9,9,8,1,14,13,11,4,2,2,0,0,SP1 (9),2,2,0,7
2015-08-30,Getafe,Granada,1,2,A,0,2,A,16,9,4,4,16,15,6,6,5,3,0,0,SP1 (9),3,-1,7,0
2015-08-30,Las Palmas,Levante,0,0,D,0,0,D,16,3,2,2,14,21,3,0,2,4,0,0,SP1 (9),0,0,13,0
2015-08-30,Sevilla,Ath Madrid,0,3,A,0,1,A,25,17,7,7,17,13,11,1,3,4,0,0,SP1 (9),3,-3,8,0
2015-08-30,Valencia,La Coruna,1,1,D,1,1,D,12,12,5,3,13,15,5,7,2,1,1,0,SP1 (9),2,0,0,2
2015-09-11,Levante,Sevilla,1,1,D,0,1,A,14,8,4,3,12,8,5,4,3,3,0,0,SP1 (9),2,0,6,1
2015-09-12,Sp Gijon,Valencia,0,1,A,0,0,D,16,17,8,3,16,11,5,6,3,3,0,0,SP1 (9),1,-1,-1,5
2015-09-12,Espanol,Real Madrid,0,6,A,0,4,A,14,15,3,8,19,10,5,6,2,2,0,0,SP1 (9),6,-6,-1,-5
2015-09-12,Betis,Sociedad,1,0,H,1,0,H,9,15,2,3,12,9,2,4,4,3,1,0,SP1 (9),1,1,-6,-1
2015-09-12,Ath Madrid,Barcelona,1,2,A,0,0,D,11,13,3,5,17,5,1,10,3,1,0,0,SP1 (9),3,-1,-2,-2
2015-09-13,Ath Bilbao,Getafe,3,1,H,2,0,H,14,11,6,3,12,15,12,5,1,4,0,0,SP1 (9),4,2,3,3
2015-09-13,Celta,Las Palmas,3,3,D,2,1,H,26,9,12,5,19,14,7,2,0,3,0,1,SP1 (9),6,0,17,7
2015-09-13,Granada,Villarreal,1,3,A,0,0,D,13,8,2,5,16,21,8,6,2,4,0,0,SP1 (9),4,-2,5,-3
2015-09-13,Malaga,Eibar,0,0,D,0,0,D,10,7,4,0,11,13,7,3,2,4,0,0,SP1 (9),0,0,3,4
2015-09-14,Vallecano,La Coruna,1,3,A,1,2,A,8,14,2,8,12,10,5,4,2,2,1,0,SP1 (9),4,-2,-6,-6
2015-09-18,Getafe,Malaga,1,0,H,1,0,H,10,13,4,3,18,11,4,7,5,2,0,0,SP1 (9),1,1,-3,1
2015-09-19,Sociedad,Espanol,2,3,A,1,1,D,10,18,3,6,15,16,7,6,2,3,1,0,SP1 (9),5,-1,-8,-3
2015-09-19,Valencia,Betis,0,0,D,0,0,D,22,3,5,1,17,15,7,1,4,2,0,1,SP1 (9),0,0,19,4
2015-09-19,Eibar,Ath Madrid,0,2,A,0,0,D,9,14,3,6,13,7,1,4,2,1,0,0,SP1 (9),2,-2,-5,-3
2015-09-19,Real Madrid,Granada,1,0,H,0,0,D,20,12,10,3,9,15,10,1,1,3,0,0,SP1 (9),1,1,8,7
2015-09-20,Barcelona,Levante,4,1,H,0,0,D,21,11,8,4,8,16,4,4,0,1,0,0,SP1 (9),5,3,10,4
2015-09-20,La Coruna,Sp Gijon,2,3,A,2,3,A,19,4,9,4,11,16,8,3,3,3,0,0,SP1 (9),5,-1,15,5
2015-09-20,Las Palmas,Vallecano,0,1,A,0,1,A,8,17,2,6,13,19,3,5,3,5,0,0,SP1 (9),1,-1,-9,-4
2015-09-20,Sevilla,Celta,1,2,A,0,2,A,13,15,5,5,16,16,5,5,3,5,0,1,SP1 (9),3,-1,-2,0
2015-09-20,Villarreal,Ath Bilbao,3,1,H,1,0,H,14,11,7,2,17,6,9,4,4,4,0,0,SP1 (9),4,2,3,5
2015-09-22,Ath Madrid,Getafe,2,0,H,1,0,H,12,6,3,2,14,10,6,1,3,2,0,0,SP1 (9),2,2,6,1
2015-09-22,Espanol,Valencia,1,0,H,1,0,H,17,10,5,4,22,14,7,6,5,7,0,0,SP1 (9),1,1,7,1
2015-09-22,Granada,Sociedad,0,3,A,0,2,A,11,8,1,5,20,18,4,3,5,4,0,0,SP1 (9),3,-3,3,-4
2015-09-23,Vallecano,Sp Gijon,2,1,H,1,0,H,18,5,6,2,14,17,4,4,2,1,0,1,SP1 (9),3,1,13,4
2015-09-23,Malaga,Villarreal,0,1,A,0,0,D,15,9,4,3,18,14,8,5,2,3,0,0,SP1 (9),1,-1,6,1
2015-09-23,Levante,Eibar,2,2,D,0,1,A,12,10,2,4,13,23,4,7,2,5,0,0,SP1 (9),4,0,2,-2
2015-09-23,Las Palmas,Sevilla,2,0,H,1,0,H,12,17,4,3,9,13,5,5,3,4,0,0,SP1 (9),2,2,-5,1
2015-09-23,Celta,Barcelona,4,1,H,2,0,H,18,18,5,7,19,4,5,10,2,2,0,0,SP1 (9),5,3,0,-2
2015-09-23,Ath Bilbao,Real Madrid,1,2,A,0,1,A,11,22,5,6,17,10,6,8,4,3,0,0,SP1 (9),3,-1,-11,-1
2015-09-24,Betis,La Coruna,1,2,A,0,0,D,9,8,2,3,11,22,3,4,3,5,0,0,SP1 (9),3,-1,1,-1
2015-09-25,Valencia,Granada,1,0,H,1,0,H,12,18,5,3,19,20,11,3,3,3,0,0,SP1 (9),1,1,-6,2
2015-09-26,Barcelona,Las Palmas,2,1,H,1,0,H,18,10,6,6,12,23,3,4,2,4,0,0,SP1 (9),3,1,8,0
2015-09-26,Eibar,Celta,1,1,D,1,0,H,10,9,3,2,25,16,4,4,5,4,0,0,SP1 (9),2,0,1,1
2015-09-26,Real Madrid,Malaga,0,0,D,0,0,D,31,12,9,3,11,10,12,6,4,4,0,1,SP1 (9),0,0,19,6
2015-09-26,Sevilla,Vallecano,3,2,H,2,0,H,17,18,8,5,9,18,6,5,1,2,0,1,SP1 (9),5,1,-1,3
2015-09-26,Villarreal,Ath Madrid,1,0,H,1,0,H,5,9,2,4,11,15,1,5,2,2,0,0,SP1 (9),1,1,-4,-2
2015-09-27,Sp Gijon,Betis,1,2,A,1,0,H,19,13,10,5,11,9,10,4,1,1,0,0,SP1 (9),3,-1,6,5
